# Some difficult maths
1 + 1

abc
a b c
2 * 2
5 / 2
# Random comment
10000000000001 * 1234567890123
6 < 3
4 = 4
1 + 2 * 3
# The end
1 = 1
10 = 10
1 > 1
1 > 10
10 > 1
1 < 1
1 < 10
10 < 1
# Some difficult maths
1 + 1
12 + 18
125 + 26
-5 + -5
-5 + 3
-5 + 10
13 - 15
25 - 12
125 - 95
-5 - -5
-5 - 3
-5 - 10
-5 - -10
2 * 2
4 * 3
7 * 10
12 * 100
-2 * -2
-4 * -3
-7 * -10
-12 * -100
-2 * 2
4 * -3
-7 * 10
12 * -100
5 / 2
6 / 3
100 / 10
7 / 4
9 / 2
-5 / -2
-6 / -3
-100 / -10
-7 / -4
-9 / -2
-5 / 2
-6 / 3
-100 / 10
-7 / 4
-9 / 2
5 / -2
6 / -3
100 / -10
7 / -4
9 / -2
100 / 11
48 / 18
# Random comment
10000000000001 * 1234567890123
792540 / 5
6 < 3
4 = 4
1 + 2 * 3
48 gcd 18
12345678901231234567890123 / 1234567890123
1 / 0
# The end
222221555556222222 gcd 666666000000
15955100134763 gcd 5574910680
24681 / 2
201 / 2
